Akroma, Angel of Wrath|W|5WWW|Creature - Angel Legend|6/6|Flying, first strike, trample, haste, protection from black, protection from red. Attacking doesn't cause Akroma, Angel of Wrath to tap.|No rest.  No mercy.  No matter what.|Ron Spears|R|1/145|LE
Akroma's Devoted|W|3W|Creature - Cleric|2/4|Attacking doesn't cause Clerics to tap.|"Akroma asked for only one thing from her troops: unwavering, unconditional loyalty."|Dave Dorman|U|2/145|LE
Aven Redeemer|W|3W|Creature - Bird Cleric|2/2|Flying. TAP: Prevent the next 2 damage that would be dealt to target creature or player this turn.|"Redeemers rise with the sun, and the spirits of the people rise with them."|Tim Hildebrandt|C|3/145|LE
Aven Warhawk|W|4W|Creature - Bird Soldier|2/2|Amplify 1 (As this card comes into play, put a +1/+1 counter on it for each Bird and/or Soldier card you reveal in your hand.). Flying||Glen Angus|U|4/145|LE
Beacon of Destiny|W|1W|Creature - Cleric|1/3|TAP: The next time a source of your choice would deal damage to you this turn, that damage is dealt to Beacon of Destiny instead.|"We all borrowed life from the Ancestor to exist in this world. Today, I repay that debt."|Tim Hildebrandt|R|5/145|LE
Celestial Gatekeeper|W|3WW|Creature - Bird Cleric|2/2|Flying. When Celestial Gatekeeper is put into a graveyard from play, remove it from the game, then return up to two target Bird and/or Cleric cards from your graveyard to play.||Christopher Moeller|R|6/145|LE
Cloudreach Cavalry|W|1W|Creature - Soldier|1/1|Cloudreach Cavalry gets +2/+2 and has flying as long as you control a Bird.|It's easy to lose sight of hope until you gaze out from my vantage point.|Kev Walker|U|7/145|LE
Daru Mender|W|W|Creature - Cleric|1/1|Morph W (You may play this face down as a 2/2 creature for 3. Turn it face up any time for its morph cost). When Daru Mender is turned face up, regenerate target creature.||Ben Thompson|U|8/145|LE
Daru Sanctifier|W|3W|Creature - Cleric|1/4|Morph 1W (You may play this face down as a 2/2 creature for 3. Turn it face up any time for its morph cost). When Daru Sanctifier is turned face up, destroy target enchantment.||Tony Szczudlo|C|9/145|LE
Daru Stinger|W|3W|Creature - Soldier|1/1|Amplify 1 (As this card comes into play, put a +1/+1 counter on it for each Soldier card you reveal in your hand). TAP: Daru Stinger deals damage equal to the number of +1/+1 counters on it to target attacking or blocking creature.||Greg Staples|C|10/145|LE
Defender of the Order|W|3W|Creature - Cleric|2/4|Morph WW (You may play this face down as a 2/2 creature for 3. Turn it face up any time for its morph cost). When Defender of the Order is turned face up, creatures you control get +0/+2 until end of turn.||Darrell Riche|R|11/145|LE
Deftblade Elite|W|W|Creature - Soldier|1/1|Provoke (When this attacks, you may have target creature defending player controls untap and block it if able). 1W: Prevent all combat damage that would be dealt to and dealt by Deftblade Elite this turn.||Alan Pollack|C|12/145|LE
Essence Sliver|W|3W|Creature - Sliver|3/3|Whenever a Sliver deals damage, its controller gains that much life.|"The slivers would survive, even at the expense of every other creature on Otaria."|Glen Angus|R|13/145|LE
Gempalm Avenger|W|5W|Creature - Soldier|3/5|Cycling 2W (2W, Discard this card from your hand: Draw a card). When you cycle Gempalm Avenger, all Soldiers get +1/+1 and gain first strike until end of turn.||Tim Hildebrandt|C|14/145|LE
Glowrider|W|2W|Creature - Cleric|2/1|Noncreature spells cost 1 more to play.|It is not yet time.|Scott M. Fischer|R|15/145|LE
Liege of the Axe|W|3W|Creature - Soldier|2/3|Attacking doesn't cause Liege of the Axe to tap. . Morph 1W (You may play this face down as a 2/2 creature for 3. Turn it face up any time for its morph cost). When Liege of the Axe is turned face up, untap it.||Christopher Moeller|U|16/145|LE
