8e_en_db.txt:Ardent Militia|W|4W|Creature - Soldier|2/5|Attacking doesn't cause Ardent Militia to tap.|Knights fight for honor and mercenaries fight for gold. The militia fights for hearth and home.|U|3/350|Paolo Parente|8E
8e_en_db.txt:Diving Griffin|W|1WW|Creature - Griffin|2/2|Flying (This creature can't be blocked except by creatures with flying.) Attacking doesn't cause Diving Griffin to tap.|To outrace the griffin -Kipamu expression meaning "to do the impossible"|C|17/350|John Howe|8E
8e_en_db.txt:Serra Angel|W|3WW|Creature - Angel|4/4|Flying (This creature can't be blocked except by creatures with flying.) Attacking doesn't cause Serra Angel to tap.|When she flies above the good, they consider themselves blessed. When she flies above the wicked, they consider themselves dead.|R|45/350|Mark Zug|8E
8e_en_db.txt:Standing Troops|W|2W|Creature - Soldier|1/4|Attacking doesn't cause Standing Troops to tap.|The less you have, the harder you fight for it.|C|48/350|Daren Bader|8E
Darksteel_en_db.txt:Razor Golem|A|6|Artifact Creature - Golem|3/4|Affinity for Plains (This spell costs 1 less to play for each Plains you control.) Attacking doesn't cause Razor Golem to tap.|The longer it stands among the deadly blades of the Razor Fields, the more it adopts their harsh exterior.|C|Christopher Moeller|DS
le_en_db.txt:Akroma, Angel of Wrath|W|5WWW|Creature - Angel Legend|6/6|Flying, first strike, trample, haste, protection from black, protection from red. Attacking doesn't cause Akroma, Angel of Wrath to tap.|No rest.  No mercy.  No matter what.|Ron Spears|R|1/145|LE
le_en_db.txt:Akroma's Devoted|W|3W|Creature - Cleric|2/4|Attacking doesn't cause Clerics to tap.|"Akroma asked for only one thing from her troops: unwavering, unconditional loyalty."|Dave Dorman|U|2/145|LE
le_en_db.txt:Liege of the Axe|W|3W|Creature - Soldier|2/3|Attacking doesn't cause Liege of the Axe to tap. . Morph 1W (You may play this face down as a 2/2 creature for 3. Turn it face up any time for its morph cost). When Liege of the Axe is turned face up, untap it.||Christopher Moeller|U|16/145|LE
le_en_db.txt:Sunstrike Legionnaire|W|1W|Creature - Soldier|1/2|Sunstrike Legionnaire doesn't untap during your untap step. . Whenever another creature comes into play, untap Sunstrike Legionnaire. . TAP: Tap target creature with converted mana cost 3 or less.||Mark Zug|R|22/145|LE
Mirrodin_en_db.txt:Leonin Den-Guard|W|1W|Creature - Cat Soldier|1/3|As long as Leonin Den-Guard is equipped, it gets +1/+1 and attacking doesn't cause it to tap.|No one under the four suns can elude the watchful eye of the den-guard.|C|9/306|Todd Lockwood|MR
Mirrodin_en_db.txt:Yotian Soldier|A|3|Artifact Creature - Soldier|1/4|Attacking doesn't cause Yotian Soldier to tap.|Poets dream the verses of otherworldly stories. Artificers dream the blueprints of otherplanar artifacts.|C|277/306|Luca Zontini|MR
on_en_db.txt:Mobilization|W|2W|Enchantment||Attacking doesn't cause Soldiers to tap. 2W: Put a 1/1 white Soldier creature token into play.|Newcomers to Otaria find themselves at the bottom of the heap. In the pits, they at least have the chance to climb atop a heap of bodies.|Carl Critchlow|R|44/350|ON
on_en_db.txt:Pearlspear Courier|W|2W|Creature - Soldier|2/1|You may choose not to untap Pearlspear Courier during your untap step. 2W, Tap: As long as Pearlspear Courier remains tapped, target Soldier gets +2/+2 and has "Attacking doesn't cause this creature to tap."||Dany Orizio|U|48/350|ON
on_en_db.txt:Artificial Evolution|U|U|Instant||Change the text of target spell or permanent by replacing all instances of one creature type with another. The new creature type can't be Legend or Wall. (This effect doesn't end at end of turn.)||Greg Staples|R|67/350|ON
sc_en_db.txt:Dragon Scales|W|1W|Enchant Creature||Enchanted creature gets +1/+2 and attacking doesn't cause it to tap. When a creature with converted mana cost 6 or more comes into play, you may return Dragon Scales from your graveyard to play enchanting that creature.||C|10/143|Darrell Riche|SC
sc_en_db.txt:Noble Templar|W|5W|Creature - Cleric Soldier|3/6|Attacking doesn't cause Noble Templar to tap. Plainscycling 2 (2, Discard this card from your hand: Search your library for a plains card, reveal it, and put it into your hand. Then shuffle your library.)||C|19/143|Alex Horley-Orlandelli|SC
